 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,HARRIS,0.013646,115,17,BRIEF,0.000985,
1,HARRIS,0.010683,98,14,BRIEF,0.000855,12,0.000236
2,HARRIS,0.015221,113,18,BRIEF,0.000334,12,0.000096
3,HARRIS,0.017179,121,20,BRIEF,0.001257,14,0.000163
4,HARRIS,0.016978,160,25,BRIEF,0.000825,16,0.000079
5,HARRIS,0.020401,383,39,BRIEF,0.000342,16,0.000051
6,HARRIS,0.008886,85,17,BRIEF,0.000689,15,0.000049
7,HARRIS,0.015520,210,28,BRIEF,0.000729,12,0.000058
8,HARRIS,0.012381,171,25,BRIEF,0.000331,19,0.001668
9,HARRIS,0.014126,281,31,BRIEF,0.000963,20,0.000093

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,HARRIS,0.011508,115,17,ORB,0.000764,
1,HARRIS,0.010706,98,14,ORB,0.001074,11,0.000102
2,HARRIS,0.017785,113,18,ORB,0.000876,11,0.000096
3,HARRIS,0.009947,121,20,ORB,0.000871,14,0.000082
4,HARRIS,0.011563,160,25,ORB,0.001403,16,0.000130
5,HARRIS,0.021427,383,39,ORB,0.001494,18,0.000145
6,HARRIS,0.009057,85,17,ORB,0.000753,18,0.000058
7,HARRIS,0.015241,210,28,ORB,0.000740,12,0.000047
8,HARRIS,0.010698,171,25,ORB,0.000688,20,0.000050
9,HARRIS,0.012070,281,31,ORB,0.000790,19,0.001462

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,HARRIS,0.012250,115,17,FREAK,0.032367,
1,HARRIS,0.014897,98,14,FREAK,0.031300,11,0.000095
2,HARRIS,0.014041,113,18,FREAK,0.031924,9,0.000632
3,HARRIS,0.009530,121,20,FREAK,0.031135,13,0.000050
